Country,Class
Afghanistan,Low
Burkina Faso,Low
Burundi,Low
Central African Republic,Low
Chad,Low
"Congo, Dem. Rep",Low
Eritrea,Low
Ethiopia,Low
"Gambia, The",Low
Guinea,Low
Guinea-Bissau,Low
"Korea, Dem. People's Rep  ",Low
Liberia,Low
Madagascar,Low
Malawi,Low
Mali,Low
Mozambique,Low
Niger,Low
Rwanda,Low
Sierra Leone,Low
Somalia,Low
South Sudan,Low
Sudan,Low
﻿﻿Syrian Arab Republic,Low
Togo,Low
Uganda,Low
"Yemen, Rep.",Low
Zambia,Low
Angola,Lower middle
Algeria,Lower middle
Bangladesh,Lower middle
Benin,Lower middle
Bhutan,Lower middle
Bolivia,Lower middle
Cabo Verde,Lower middle
Cambodia,Lower middle
Cameroon,Lower middle
Comoros,Lower middle
"Congo, Rep.",Lower middle
Côte d'Ivoire,Lower middle
Djibouti,Lower middle
"Egypt, Arab Rep.",Lower middle
El Salvador,Lower middle
Eswatini,Lower middle
Ghana,Lower middle
Haiti,Lower middle
Honduras,Lower middle
India,Lower middle
Indonesia,Lower middle
"Iran, Islamic Rep",Lower middle
Kenya,Lower middle
Kiribati,Lower middle
Kyrgyz Republic,Lower middle
Lao PDR,Lower middle
Lebanon,Lower middle
Lesotho,Lower middle
Mauritania,Lower middle
"Micronesia, Fed. Sts.",Lower middle
Mongolia,Lower middle
Morocco,Lower middle
Myanmar,Lower middle
Nepal,Lower middle
Nicaragua,Lower middle
Nigeria,Lower middle
Pakistan,Lower middle
Papua New Guinea,Lower middle
Philippines,Lower middle
Samoa,Lower middle
São Tomé and Principe,Lower middle
Senegal,Lower middle
Solomon Islands  ,Lower middle
Sri Lanka,Lower middle
Tanzania,Lower middle
Tajikistan,Lower middle
Timor-Leste,Lower middle
Tunisia,Lower middle
Ukraine,Lower middle
Uzbekistan,Lower middle
Vanuatu,Lower middle
Vietnam,Lower middle
West Bank and Gaza,Lower middle
Zimbabwe,Lower middle
Albania,Upper middle
American Samoa,Upper middle
Argentina,Upper middle
Armenia,Upper middle
Azerbaijan,Upper middle
Belarus,Upper middle
Belize,Upper middle
Bosnia and Herzegovina  ,Upper middle
Botswana,Upper middle
Brazil,Upper middle
Bulgaria,Upper middle
China,Upper middle
Colombia,Upper middle
Costa Rica,Upper middle
Cuba,Upper middle
Dominica,Upper middle
Dominican Republic  ,Upper middle
Equatorial Guinea  ,Upper middle
Ecuador,Upper middle
Fiji,Upper middle
Gabon,Upper middle
Georgia,Upper middle
Grenada,Upper middle
Guatemala,Upper middle
Guyana,Upper middle
Iraq,Upper middle
Jamaica,Upper middle
Jordan,Upper middle
Kazakhstan,Upper middle
Kosovo,Upper middle
Libya,Upper middle
Malaysia,Upper middle
Maldives,Upper middle
Marshall Islands,Upper middle
Mauritius,Upper middle
Mexico,Upper middle
Moldova,Upper middle
Montenegro,Upper middle
Namibia,Upper middle
North Macedonia,Upper middle
Palau,Upper middle
Paraguay,Upper middle
Peru  ,Upper middle
Russian Federation,Upper middle
Serbia,Upper middle
South Africa,Upper middle
St. Lucia,Upper middle
St. Vincent and the Grenadines,Upper middle
Suriname,Upper middle
Thailand,Upper middle
Tonga,Upper middle
Türkiye,Upper middle
Turkmenistan,Upper middle
Tuvalu,Upper middle
Andorra,Upper
Antigua and Barbuda,Upper
Aruba,Upper
Australia,Upper
Austria,Upper
"Bahamas, The",Upper
Bahrain,Upper
Barbados,Upper
Belgium,Upper
Bermuda,Upper
British Virgin Islands,Upper
Brunei Darussalam,Upper
Canada,Upper
Cayman Islands,Upper
Channel Islands,Upper
Chile,Upper
Croatia,Upper
Curaçao,Upper
Cyprus,Upper
Czech Republic,Upper
Denmark,Upper
Estonia,Upper
Faroe Islands,Upper
Finland,Upper
France,Upper
French Polynesia,Upper
Germany,Upper
Gibraltar,Upper
Greece,Upper
Greenland,Upper
Guam,Upper
"Hong Kong SAR, China",Upper
Hungary,Upper
Iceland,Upper
Ireland,Upper
Isle of Man,Upper
Israel,Upper
Italy,Upper
Japan,Upper
"Korea, Rep.",Upper
Kuwait,Upper
Latvia,Upper
Liechtenstein,Upper
Lithuania,Upper
Luxembourg,Upper
"Macao SAR, China",Upper
Malta,Upper
Monaco,Upper
Nauru,Upper
Netherlands,Upper
New Caledonia  ,Upper
New Zealand  ,Upper
Northern Mariana Islands,Upper
Norway,Upper
Oman  ,Upper
Panama ,Upper
Poland,Upper
Portugal,Upper
Puerto Rico,Upper
Qatar,Upper
Romania,Upper
San Marino,Upper
Saudi Arabia,Upper
Seychelles,Upper
Singapore,Upper
Sint Maarten (Dutch part),Upper
Slovak Republic,Upper
Slovenia,Upper
Spain,Upper
St. Kitts and Nevis,Upper
St. Martin (French part),Upper
Sweden,Upper
Switzerland,Upper
"Taiwan, China",Upper
Trinidad and Tobago,Upper
Turks and Caicos Islands,Upper
United Arab Emirates,Upper
United Kingdom,Upper
United States,Upper
Uruguay,Upper