Country,Total Medals,Gold,Silver,Bronze,2022 Population,Total Medals PMP
United States of America,2980,1180,959,841,338289857,8.809013745
United Kingdom,948,296,320,332,67508936,14.04258541
Germany,892,293,293,306,83369843,10.69931246
France,874,258,289,327,64626628,13.52383726
Italy,742,257,224,261,59037474,12.56828841
China,696,275,227,194,1425887337,0.488117106
Sweden,661,205,222,234,10549347,62.65790669
Australia,562,169,178,215,26177413,21.46888999
Japan,555,183,172,200,123951692,4.477550819
Russia,547,196,164,187,144713314,3.779887177
Norway,528,192,176,160,5434319,97.16028816
Canada,525,144,172,209,38454327,13.65255983
Hungary,518,182,156,180,9967308,51.9699
Finland,472,144,148,180,5540745,85.18710029
Netherlands,451,140,148,163,17564014,25.67750174
Switzerland,358,109,124,125,8740472,40.95888643
South Korea,357,127,116,114,51815810,6.889789043
Austria,326,83,115,128,8939617,36.46688667
Poland,320,79,96,145,39857145,8.028673403
Romania,309,90,97,122,19659267,15.71777829
Cuba,241,85,71,85,11212191,21.49446081
Bulgaria,230,55,90,85,6781953,33.91353494
Denmark,206,48,79,79,5882261,35.02054737
Spain,171,49,72,50,47558630,3.595561941
Belgium,161,44,56,61,11655930,13.81271164
Brazil,150,37,42,71,215313498,0.6966586
Ukraine,147,38,37,72,39701739,3.702608594
New Zealand,140,53,34,53,5185288,26.99946464
Greece,121,35,45,41,10384971,11.65145285
Kenya,113,35,42,36,54027487,2.091527966
Turkey,104,41,26,37,85341241,1.218637071
Belarus,103,21,35,47,9534954,10.8023594
Czech Republic,98,28,32,38,10493986,9.338682175
South Africa,89,27,33,29,59893885,1.48596138
Jamaica,87,26,36,25,2827377,30.77056933
Kazakhstan,80,16,24,40,19397998,4.124136934
Argentina,77,21,26,30,45510318,1.691924016
Iran,76,24,23,29,88550570,0.858266638
Mexico,73,13,24,36,127504125,0.572530497
Ethiopia,58,23,12,23,123379924,0.470092687
North Korea,56,16,17,23,26069416,2.148111028
Croatia,52,18,19,15,4030358,12.90207967
Azerbaijan,49,7,14,28,10358074,4.730609185
Slovenia,45,10,14,21,2119844,21.22797715
Estonia,43,14,11,18,1326062,32.42683977
Slovakia,40,13,18,9,5643453,7.087859153
Georgia,40,10,12,18,3744385,10.68266217
Egypt,38,8,11,19,110990103,0.342372869
Indonesia,37,8,14,15,275501339,0.134300618
Uzbekistan,37,11,6,20,34627652,1.068510218
India,35,10,9,16,1417173173,0.024697052
Thailand,35,10,8,17,71697030,0.48816527
Ireland,35,11,10,14,5023109,6.967796239
Colombia,34,5,13,16,51874024,0.655434018
Mongolia,30,2,11,17,3398366,8.827771935
Latvia,30,5,14,11,1850651,16.21051187
Portugal,28,5,9,14,10270865,2.726157923
Nigeria,27,3,11,13,218541212,0.123546492
Lithuania,26,6,7,13,2750055,9.454356367
Morocco,24,7,5,12,37457971,0.6407181
Serbia,24,6,7,11,7221365,3.323471394
Venezuela,19,3,7,9,28301696,0.671337859
Trinidad and Tobago,19,3,5,11,1531044,12.40983277
Armenia,18,2,8,8,2780469,6.473727993
Algeria,17,5,4,8,44903225,0.378591961
Bahamas,16,8,2,6,409984,39.02591321
Tunisia,15,5,3,7,12356117,1.213973613
Philippines,14,1,5,8,115559009,0.121150226
Malaysia,13,0,8,5,33938221,0.383048952
Chile,13,2,7,4,19603733,0.663139005
Israel,13,3,1,9,9038309,1.438322146
Dominican Republic,12,3,5,4,11228821,1.068678537
Uganda,11,4,4,3,47249585,0.232806278
Pakistan,10,3,3,4,235824862,0.04240435
Uruguay,10,2,2,6,3422794,2.921589789
Puerto Rico,10,2,2,6,3252407,3.074645947
Liechtenstein,10,2,2,6,39327,254.2782312
Hong Kong,9,2,3,4,7488865,1.201784249
Zimbabwe,8,3,4,1,16320537,0.490179949
Qatar,8,2,1,5,2695122,2.968325738
Kyrgyzstan,7,0,3,4,6630623,1.055707737
Cameroon,6,3,1,2,27914536,0.214941778
Moldova,6,0,2,4,3272996,1.833182809
Vietnam,5,1,3,1,98186856,0.050923313
Ghana,5,0,1,4,33475870,0.149361316
Ecuador,5,3,2,0,18001000,0.277762347
Singapore,5,1,2,2,5975689,0.836723598
Namibia,5,0,5,0,2567012,1.947789882
Saudi Arabia,4,0,2,2,36408820,0.109863489
Peru,4,1,3,0,34049588,0.117475724
Ivory Coast,4,1,1,2,28160542,0.142042721
Syria,4,1,1,2,22125249,0.180788926
Tajikistan,4,1,1,2,9952787,0.401897479
Lebanon,4,0,2,2,5489739,0.72863209
Costa Rica,4,1,1,2,5180829,0.77207721
Bahrain,4,2,2,0,1472233,2.716961242
Luxembourg,4,1,3,0,647599,6.176661792
Iceland,4,0,2,2,372899,10.72676516
Jordan,3,1,1,1,11285869,0.265819141
Panama,3,1,0,2,4408581,0.68049107
Kuwait,3,0,0,3,4268873,0.702761595
Fiji,3,2,0,1,929766,3.22661831
Grenada,3,1,1,1,125438,23.91619764
San Marino,3,0,1,2,33660,89.12655971
Tanzania,2,0,2,0,65497748,0.030535401
Afghanistan,2,0,0,2,41128771,0.04862776
Mozambique,2,1,0,1,32969518,0.060662094
Niger,2,0,1,1,26207977,0.076312643
Sri Lanka,2,0,2,0,21832143,0.091608048
Zambia,2,0,1,1,20017675,0.099911703
Burundi,2,1,1,0,12889576,0.155164142
Haiti,2,0,1,1,11584996,0.17263709
United Arab Emirates,2,1,0,1,9441129,0.211839071
Botswana,2,0,1,1,2630296,0.760370696
North Macedonia,2,0,1,1,2093599,0.955292776
Suriname,2,1,0,1,618040,3.236036502
Bermuda,2,1,0,1,64184,31.16041381
Sudan,1,0,1,0,46874204,0.021333696
Iraq,1,0,0,1,44496122,0.022473869
Burkina Faso,1,0,0,1,22673762,0.044103841
Guatemala,1,0,1,0,17843908,0.056041535
Senegal,1,0,1,0,17316449,0.05774856
Togo,1,0,0,1,8848699,0.113010964
Paraguay,1,0,1,0,6780744,0.147476442
Turkmenistan,1,0,1,0,6430770,0.155502374
Eritrea,1,0,0,1,3684032,0.271441725
Gabon,1,0,1,0,2388992,0.418586584
Mauritius,1,0,0,1,1299469,0.769545099
Cyprus,1,0,1,0,1251488,0.799048812
Djibouti,1,0,0,1,1120849,0.892180838
Guyana,1,0,0,1,808726,1.236512737
Montenegro,1,0,1,0,627082,1.594687776
Barbados,1,0,0,1,281635,3.550695049
Samoa,1,0,1,0,222382,4.496766825
Tonga,1,0,1,0,106858,9.358213704